ACCNUM,YEAR,DATE,TIME,STREET1,STREET2,ROAD_CLASS,DISTRICT,WARDNUM,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY
1001547694,2021,2021/08/15 04:00:00+00,1415,DON VALLEY PARKWAY  N,BAYVIEW BLOOR DVP N RAMP,Expressway,Scarborough,22,43.690997,-79.359271,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Rear End,Passenger,72,Non-Fatal
1001569148,2021,2021/08/18 04:00:00+00,1442,YONGE ST,FINCH AVE E,Major Arterial,North York,18,43.779765,-79.415546,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,80,Non-Fatal
1001570554,2021,2021/08/18 04:00:00+00,1810,AVENUE RD,BLOOR ST W,Major Arterial,North York,11,43.668646,-79.394099,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Cyclist,18,Fatal
1001585997,2021,2021/08/20 04:00:00+00,2020,NEILSON RD,OAKMEADOW BLVD,Minor Arterial,Scarborough,23,43.79032,-79.212337,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,30,Non-Fatal
1001597350,2021,2021/08/22 04:00:00+00,1533,CALEDONIA RD,LOTHERTON PTWY,Minor Arterial,North York,24,43.705851,-79.465106,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Motorcycle Driver,72,Non-Fatal
1001608912,2021,2021/08/24 04:00:00+00,844,5 FatalIRVIEW MALL DR,Non-Fatal,Minor Arterial,North York,25,43.779162,-79.34782,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,85,Fatal
1001622645,2021,2021/08/26 04:00:00+00,330,HARBOUR ST,YORK ST,Major Arterial,Toronto and East York,10,43.640933,-79.380649,Intersection,At Intersection,Traffic Signal,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1001633249,2021,2021/08/27 04:00:00+00,1400,QUEENS QUAY WEST,BATHURST ST,Major Arterial,Toronto and East York,10,43.6356,-79.398326,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Passenger,72,Non-Fatal
1001657810,2021,2021/08/30 04:00:00+00,2205,BLOOR ST W,DORVAL RD,Major Arterial,Toronto and East York,26,43.655696,-79.454929,Mid-Block,Non Intersection,No Control,Clear,Dusk,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1001719723,2021,2021/09/01 04:00:00+00,1124,COXWELL AVE,GERRARD ST E,Minor Arterial,Toronto and East York,27,43.67525,-79.320316,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Other,Passenger,85,Non-Fatal
1001685952,2021,2021/09/03 04:00:00+00,1735,COLLEGE ST,UNIVERSITY AVE,Major Arterial,Toronto and East York,28,43.659785,-79.390453,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Motorcycle Driver,72,Non-Fatal
1001791905,2021,2021/09/18 04:00:00+00,1355,LAWRENCE AVE  W,WESTON RD,Major Arterial,Etobicoke York,5,43.700087,-79.516155,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Motorcycle Driver,72,Non-Fatal
1001804125,2021,2021/09/20 04:00:00+00,1033,VICTORIA PARK AVE,SHEPPARD AVE E,Major Arterial,North York,1722,43.775172,-79.322978,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Passenger,72,Non-Fatal
1001888393,2021,2021/10/01 04:00:00+00,2039,EGLINTON AVE E,MIDLAND AVE,Major Arterial,Scarborough,2120,43.734458,-79.258067,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Non-Fatal
1001896382,2021,2021/10/03 04:00:00+00,132,F G GARDINER XY  E,ISLINGTON AVE,Expressway,Etobicoke York,29,43.621237,-79.5078,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Fatal,Rear End,Passenger,55,Fatal
1001961568,2021,2021/10/12 04:00:00+00,1639,PARKSIDE DR,SPRING RD,Major Arterial,Scarborough,4,43.640914,-79.454616,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Fatal,Rear End,Passenger,66,Fatal
1001961568,2021,2021/10/12 04:00:00+00,1639,PARKSIDE DR,SPRING RD,Major Arterial,Scarborough,4,43.640914,-79.454616,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Fatal,Rear End,Driver,72,Fatal
1001970214,2021,2021/10/13 04:00:00+00,1927,DON MILLS RD,THE DONWAY  W,Minor Arterial,North York,30,43.73189,-79.342868,Mid-Block,Non Intersection,No Control,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1001982074,2021,2021/10/15 04:00:00+00,1201,BURNHAMTHORPE RD,SHAVER AVE N,Major Arterial,Etobicoke York,2,43.648104,-79.551654,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Angle,Driver,55,Fatal
1002009493,2021,2021/10/19 04:00:00+00,1140,DANFORTH AVE,BIRCHMOUNT RD,Minor Arterial,Scarborough,20,43.696921,-79.263965,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Non-Fatal
1002013655,2021,2021/10/19 04:00:00+00,2136,O CONNOR DR,PEPLER AVE,Major Arterial,Toronto and East York,1,43.693316,-79.349239,Mid-Block,Non Intersection,No Control,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1002048741,2021,2021/10/24 04:00:00+00,2019,2233 BARTOR RD,Non-Fatal,Minor Arterial,Etobicoke York,7,43.73461,-79.526828,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Fatal,Rear End,Driver,45,Non-Fatal
1002054917,2021,2021/10/25 04:00:00+00,1835,LAKE SHORE BLVD W,TWENTY FIRST ST,Major Arterial,Etobicoke York,3,43.597369,-79.520198,Mid-Block,Non Intersection,No Control,Rain,Dusk,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1002090164,2021,2021/10/30 04:00:00+00,1840,KENNEDY RD,LAWRENCE AVE E,Major Arterial,Scarborough,2,43.750979,-79.275401,Mid-Block,Non Intersection,No Control,Rain,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1002183788,2021,2021/11/12 05:00:00+00,2030,DON VALLEY PARKWAY  S,DUNDAS ST E,Expressway,Toronto and East York,3,43.662001,-79.355159,Mid-Block,Non Intersection,No Control,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1002190393,2021,2021/11/13 05:00:00+00,2012,THE QUEENSWAY,HIGH ST,Major Arterial,Etobicoke York,4,43.632056,-79.477725,Mid-Block,Non Intersection,No Control,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1002190676,2021,2021/11/13 05:00:00+00,2100,RENFORTH DR,CENTENNIAL PARK GT,Minor Arterial,Etobicoke York,5,43.65372,-79.580486,Mid-Block,Non Intersection,No Control,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1002221731,2021,2021/11/18 05:00:00+00,959,SHERBOURNE ST,DUNDAS ST  E,Major Arterial,Toronto and East York,13,43.658221,-79.37099,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Passenger,72,Non-Fatal
1002330287,2021,2021/12/03 05:00:00+00,1325,TOWER DR,BRIAN AVE,Local,Scarborough,6,43.747439,-79.299724,Intersection,Intersection Related,Stop Sign,Clear,Daylight,Dry,Fatal,SMV Other,Driver,82,Fatal
1002384384,2021,2021/12/10 05:00:00+00,2345,LAKE SHORE BLVD E,LOWER JARVIS ST,Major Arterial,Scarborough,7,43.645503,-79.369815,Mid-Block,Non Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Non-Fatal
1002386733,2021,2021/12/11 05:00:00+00,1132,MIDLAND AVE,BROADBENT AVE,Major Arterial,Scarborough,21,43.738864,-79.259937,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,72,Non-Fatal
1002396112,2021,2021/12/12 05:00:00+00,1930,3805 SHEPPARD AVE E,Non-Fatal,Major Arterial,Scarborough,8,43.782389,-79.29182,Mid-Block,Non Intersection,No Control,Strong wind,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
